input | output
delete message | sendMessage("Please provide the message to delete and a reason")
23424234, member doesn't respect the rules | deleteMessage[23424234] reason("member doesn't respect the rules")
Delete this message to ensure privacy. 32109876 | deleteMessage[32109876] reason("ensure privacy")
wal-i this message needs to be removed | sendMessage("You didn't provide a message to delete and a reason")
23424234, 32109876, member doesn't respect the rules | deleteMessage[23424234, 32109876] reason("member doesn't respect the rules")
Can you delete this message 276876758732 ? The reason is that the member did not follow the rules. | deleteMessage[276876758732] reason("member did not follow the rules")
Delete this message 276876758732 ? The member insulted another member. | deleteMessage[276876758732] reason("member insulted another member")
delete the last 30 messages in all channels | sendMessage("Please provide a reason for deleting those messages")
The member sent too many messages in a short period of time | deleteMessage channel[0] limit(30) reason("The member sent too many messages in a short period of time.")
delete the last messages in test. The member sent too many messages in a short period of time. | sendMessage("Please provide a valid limit for the messages to delete")
10 | deleteMessage channel["test"] limit(10) reason("The member sent too many messages in a short period of time.")
delete the last 30 messages in test. The member sent too many messages in a short period of time. | deleteMessage channel["test"] limit(30) reason("The member sent too many messages in a short period of time.")
Delete the last 20 messages sent here. The member sent too many messages in a short period of time. | deleteMessage channel[1] limit(20) reason("The member sent too many messages in a short period of time.")
Delete the 10 messages sent before 23423424532 in test, The member sent too pings in a short period of time. | deleteMessage before(23423424532) limit(10) reason("The member sent too pings in a short period of time.")
delete the last message sent before 23423424532, The member sent too much pings in a short period of time. | deleteMessage before(23423424532) limit(1) reason("The member sent too much pings in a short period of time.")
Delete the last messages sent before 23423424532 in test, The member sent too pings in a short period of time. | sendMessage("Please provide a limit")
10 | deleteMessage before(23423424532) limit(10) reason("The member sent too pings in a short period of time.")
delete the last 10 messages sent before in channel test, The member sent too much pings in a short period of time. | sendMessage("You didn't provide a valid before parameter")
23423424532 | deleteMessage before(23423424532) limit(10) reason("The member sent too much pings in a short period of time.")
delete the last 10 messages sent after 2375672242 in channel test, The member sent too much pings in a short period of time. | deleteMessage after(2375672242) limit(10) reason("The member sent too much pings in a short period of time.")
delete the last 10 messages sent after 2375672242. | sendMessage("Please provide a reason for deleting those messages")
The member sent too many messages in a short period of time | deleteMessage after(2375672242) limit(10) reason("The member sent too many messages in a short period of time.")
delete the messages sent after 2375672242 and before 23423424532 in channel test. | sendMessage("Please provide a reason for deleting those messages")
member isn't respecting the rules | deleteMessage after(2375672242) before(23423424532) reason("member isn't respecting the rules")
delete the messages sent after 2375672242 and before 23423424532 in channel test. The member sent too much pings in a short period of time. | deleteMessage after(2375672242) before(23423424532) reason("The member sent too much pings in a short period of time.")
delete the messages sent after and before 23423424532 in channel test. The member sent too much pings in a short period of time. | sendMessage("Please provide a valid after parameter") 
2375672242 | deleteMessage after(2375672242) before(23423424532) reason("The member sent too much pings in a short period of time.")
delete the last 10 messages ali sent in channel test | sendMessage("Please provide a reason for deleting those messages")
The member sent too many messages in a short period of time | deleteMessage channel["test"] member["ali"] limit(10) reason("The member sent too many messages in a short period of time.")
delete the last 10 messages the member ali sent in channel test. He sent too much pings in a short period of time. | deleteMessage channel["test"] member["ali"] limit(10) reason("He sent too much pings in a short period of time.")
delete the last 10 messages I sent in channel test. | sendMessage("Please provide a reason for deleting those messages")
The member sent too many messages in a short period of time | deleteMessage channel["test"] member[1] limit(10) reason("The member sent too many messages in a short period of time.")
Delete the 20 messages ali sent before 23423424532 in channel test. He sent too much pings in a short period of time. | deleteMessage member["ali"] before(23423424532) limit(20) reason("He sent too much pings in a short period of time.")
Delete the 20 messages ali sent after 34534563464 in channel test. He sent too much pings in a short period of time. | deleteMessage member["ali"] after(34534563464) limit(20) reason("He sent too much pings in a short period of time.")
delete messages with stp and 🫡 in channel test sent by ali, member is insulting | sendMessage("What is the limit please")
no limit | deleteMessage channel["test"] member["ali"] message_contains["stp", "🫡"] limit(None) reason("member is insulting")
delete messages with stp in channel test sent by ali before this message 23453534536, member is making an insult. | sendMessage("Please provide a limit")
10 | deleteMessage member["ali"] message_contains["stp"] before(23453534536) limit(10) reason("member is making an insult.")
delete messages with stp in channel test sent by ali after 23453534536 and before 23423424532, member is making an insult. | deleteMessage member["ali"] message_contains["stp"] after(23453534536) before(23423424532) reason("member is making an insult.")
delete messages with stp in channel test sent by ali after 23453534536, member is making an insult. | sendMessage("Please provide me with a limit")
limit none | deleteMessage member["ali"] message_contains["stp"] after(23453534536) limit(None) reason("member is making an insult.")
delete messages with stp in channel test sent by ali after 23453534536 and before 23423424532 limit 10, member is making an insult. | deleteMessage member["ali"] message_contains["stp"] after(23453534536) before(23423424532) reason("member is making an insult.")
delete messages with stp in channel test sent by ali after 23453534536 and before 23423424532. member is making an insult. | deleteMessage member["ali"] message_contains["stp"] after(23453534536) before(23423424532) reason("member is making an insult.")
delete all messages containing stupid, I am testing something | sendMessage("Please provide a limit")
10 | deleteMessage channel[1] message_contains["stupid"] limit(10) reason("I am testing something")
delete all messages with links, I am testing something | sendMessage("Please provide a limit")
no limit | deleteMessage channel[1] attachement["links"] limit(None) reason("I am testing something")
delete any message with image in channel test, I am testing something | sendMessage("Please provide a limit")
10 | deleteMessage channel["test"] attachement["image"] limit(10) reason("I am testing something")
delete all messages with video in channel test, I am testing something | sendMessage("Please provide a limit")
no limit | deleteMessage channel["test"] attachement["video"] limit(None) reason("I am testing something")
delete all messages sent by ali | sendMessage("Please provide a reason for deleting those messages, and a limit")
The member sent too many messages in a short period of time, no limit | deleteMessage member["ali"] limit(None) reason("The member sent too many messages in a short period of time.")
delete the last message sent here | sendMessage("Please provide a reason for deleting that message")
member is making an insult. | deleteMessage channel[1] limit(1) reason("member is making an insult.")
delete messages in all channel | sendMessage("Please provide a reason for deleting those messages plus a limit")
Doing a server cleanup, limit 100 | deleteMessage channel[0] limit(100) reason("Doing a server cleanup")
delete the last messages in all channels | sendMessage("Please provide a reason for deleting those message and a limit")
The members were insulting each other when I was gone, limit 134 | deleteMessage channel[0] limit(134) reason("The members were insulting each other when I was gone")
delete messages with any attachement, member are not authorized to send attachements | sendMessage("Please provide a limit")
10 | deleteMessage channel[1] attachement["all"] limit(10) reason("member are not authorized to send attachements")
delete the last 10 messages in all channels with any attachement, member are not authorized to send attachements | deleteMessage channel[0] attachement["all"] limit(10) reason("member are not authorized to send attachements")
delete the last 10 messages I sent, I am testing something | deleteMessage channel[1] member[1] limit(10) reason("I am testing something")
could you delete the messages sent by <@905696511197872169> | sendMessage("Please provide a reason for deleting those messages, and a limit")
limit none, he is being disrespectful | deleteMessage channel[1] member[905696511197872169] limit(None) reason("he is being disrespectful")
<@905696511197872169> sent multiple messages at the same time could you delete them | sendMessage("Please provide a limit")
10 | deleteMessage channel[1] member[905696511197872169] limit(10) reason("he sent multiple messages at the same time")
Delete messages sent before the 12 october 2023 in all channels, The members sent too much pings in a short period of time. | sendMessage("Please provide me with a limit.")
200 | deleteMessage channel[0] before(2023-10-12 00:00:00) limit(200) reason("The members sent too pings in a short period of time.")
Delete all messages sent after the 23 january at 12am in all channels, doing a server cleanup.  | deleteMessage channel[0] after(2023-01-23 12:00:00) limit(None) reason("Doing a server cleanup.")
Delete the 10 messages sent after the 23 january at 12am and before 12pm in all channels, The member sent too pings in a short period of time | deleteMessage channel[0] after(2023-01-23 12:00:00) before(2023-02-23 00:00:00) reason("The member sent too pings in a short period of time.")
Delete the 10 messages sent today at 12am and before the 12 october 2023 in all channels, The member sent too pings in a short period of time | deleteMessage channel[0] after(year.now-month.now-day.now 12:00:00) before(2023-10-12 00:00:00) reason("The member sent too pings in a short period of time.")
Delete the 10 messages sent yesterday at 12am and before the 12 october 2023 in all channels, The member sent too pings in a short period of time | sendMessage("Please provide me with a valid time: appart from today which I understand that it's the current day other terms like tomorrow, this month, this year, this week, monday, tuesday, yesterday etc... aren't valid\")
Delete the 10 messages sent the 12 september at 12am and before the 12 october 2023 in all channels, The member sent too pings in a short period of time | deleteMessage channel[0] after(2023-09-12 12:00:00) before(2023-10-12 00:00:00) reason("The member sent too pings in a short period of time.")
Delete the 10 messages sent after 235254364 and before the 12 october 2023 in all channels, The member sent too pings in a short period of time | sendMessage("You can't use a date and time with a message id on before/after")
Delete the 10 messages sent after 235254364 and before 235254364 in all channels, The member sent too pings in a short period of time | sendMessage("To delete messages in multiple channels using before/after you need a date and time.")
the 12 september at 12am and before the 12 october 2023 | deleteMessage channel[0] after(2023-09-12 12:00:00) before(2023-10-12 00:00:00) reason("The member sent too pings in a short period of time.")
delete message sent before the 12 may of this year and after the 4 january | sendMessage("Please provide me with valid dates; you can't use this year, this month, etc..., also provide a reason")
2024, I am doing a server a cleanup | deleteMessage channel[1] after(2024-01-04 00:00:00) before(2024-05-12 00:00:00) reason("I am doing a server a cleanup")
delete messages between 1241628887868506164 and 1241628917136359514 | sendMessage("Please provide a reason for deleting those messages")
Just checking if one of your functionalities is working | deleteMessage after(1241628887868506164) before(1241628917136359514) reason("Just checking if one of your functionalities is working.")
delete message between 1241628906767913031 and 1240968371143704607, I am trying to see something | deleteMessage after(1240968371143704607) before(1241628906767913031) reason("I am trying to see something")
delete all messages sent in channel test and wal-i, just trying something | sendMessage("Please provide a limit")
None | deleteMessage channel["test", "wal-i"] limit(None) reason("just trying something")
delete all messages I sent in all channels | sendMessage("Please provide a reason for deleting those messages, and a limit")
